ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783868069433; 3868069437,Spirituelle Geschichten,,Willebadessen,Zwiebelzwerg,2019,74,"Weindel, Marion",,,,"Laufenburg, Heike",Romanhafte Biographien,ger,
9783784355832; 3784355838,Stallschwalben,1. Auflage,Münster,Landwirtschaftsverlag GmbH,2019,192,"Siegel, Ulrike",,,,,Fiktionale Darstellung; Erzählende Literatur: Gegenwartsliteratur ab 1945; Romanhafte Biographien,ger,
9783945807323; 3945807328,Sternentau,Nachdruck der 1909 erschienenen Erstausgabe im Neusatz,Lüneburg,Dieter von Reeken,2019,238,"Laßwitz, Kurd","Reeken, Dieter von",,,,Fiktionale Darstellung; Erzählende Literatur: Hauptwerk vor 1945; Erzählende Literatur,ger,
9783750257597; 3750257590,Tanz in Grün,1. Auflage,Berlin,epubli,2019,204,"Zopfi, Emil",,,,,Romanhafte Biographien,ger,
9783750403024; 3750403023,Trauergedichte und Trostgedanken,1. Auflage,Norderstedt,BoD – Books on Demand,2019,88,,,,"Sunitsch, Nicole",,Lyrik,ger,
9783750252349; 3750252343,Traumreisen,1. Auflage,Berlin,epubli,2019,192,,,,"Schimpff, Hans Jürgen",,"Romanhafte Biographien; Lyrik, Dramatik",ger,
9783750257177; 3750257175,Unbehagliche Geschichten,7. Auflage,Berlin,epubli,2019,240,,,,"Krispin, Angela",,"Lyrik, Dramatik",ger,
9783749423866; 3749423865,Unsichtbar in deiner Gewalt,1. Auflage,Norderstedt,BoD – Books on Demand,2019,48,,,,"Stark, Christin-Isabell",,Lyrik,ger,
9783748163275; 3748163274,Vater hat nie geschossen,2. Auflage,Norderstedt,BoD – Books on Demand,2019,296,,,,"Hülskemper, Michel",,Romanhafte Biographien,ger,
9783749771219; 3749771219,Verheiratet mit der Zeitung,1. Auflage,Hamburg,tredition,2019,212,,,,"Steinmetz, Jo",,Romanhafte Biographien,ger,
9783552058750; 3552058753,Verwirrung der Gefühle,1. Auflage,Wien,Paul Zsolnay Verlag,2019,832,"Zweig, Stefan","Erdem, Elisabeth; Renoldner, Klemens",,,,Fiktionale Darstellung; Erzählende Literatur: Hauptwerk vor 1945,ger,
9783749723195; 3749723192,Vom Heldentum verschont geblieben,1. Auflage,Hamburg,tredition,2019,348,"Harhues, Dieter",,,,,Romanhafte Biographien,ger,
9783749723201; 3749723206,Vom Heldentum verschont geblieben,1. Auflage,Hamburg,tredition,2019,348,,,,"Harhues, Dieter",,Romanhafte Biographien,ger,
9783947618835; 3947618832,Von Frauen und Kindern,Der Neusatz des Textes folgt der Ausgabe München 1920,Grafrath,"Boer, K",2019,172,,,,"Čechov, Anton Pavlovič; Eliasberg, Alexander",,Erzählende Literatur: Hauptwerk vor 1945,ger,
9783746075761; 3746075769,Wann wachsen Dir Flügel?,1. Auflage,Norderstedt,BoD – Books on Demand,2019,88,,,,"Ebner, Martin; Weise-Ney, Friedel; Fellner, Karin; Freude, Manfred H.; Heuser, Peter J.; Hurková, Klára; Mauritz, Hartwig; Seo-Dornbach, Anita; Witkowski, Tom; Wolf, Ralf",,Lyrik,ger,
9783746067957; 3746067952,Wann wachsen Dir Flügel?,1. Auflage,Norderstedt,BoD – Books on Demand,2019,88,,,,"Ebner, Martin; Weise-Ney, Friedel; Fellner, Karin; Freude, Manfred H.; Heuser, Peter J.; Hurková, Klára; Mauritz, Hartwig; Orlikowsky, Thorsten; Witkowski, Tom; Wolf, Ralf",,Lyrik,ger,
9783749471379; 3749471371,Warom lachsch denn so saudomm?,1. Auflage,Norderstedt,BoD – Books on Demand,2019,80,,,,"Wagenbrenner, Manfred A.; Folk, Hans",,Lyrik,ger,
9783748576136; 3748576137,Weiberhumor trifft ins Schwarze,4. Auflage,Berlin,epubli,2019,136,,,,"Schmittmann, Johanna",,Romanhafte Biographien,ger,
9783749498819; 3749498814,"Wer sich noch freuen kann, ist besser dran",1. Auflage,Norderstedt,BoD – Books on Demand,2019,104,,,,"Tzschoppe, Angelika",,Lyrik,ger,
