ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783908777557,Tanz der seligen Geister,Dt. Erstausg.,Zürich,Dörlemann,2010,378,"Munro, Alice",,"Zerning, Heidi","Munro, Alice",,Erzählende Literatur,ger,eng
9783423138468,Tod des Professors,,München,Dt. Taschenbuch-Verl.,2010,270,"Trevor, William",,"Oeser, Hans-Christian","Trevor, William",,Anthologie; Anthologie,ger,eng
9783929181838,Trauer über einen Schmetterling und andere Erzählungen,,Thunum/Ostfriesland,Ed. Peperkorn,2010,142,"Yi, Ok",,"Wall, Barbara",,,,ger,kor
9783941787032,Unheimliche Geschichten,,Berlin,Verlagshaus Jacoby & Stuart GmbH,2010,152,"Poe, Edgar Allan",,,,,Anthologie; Anthologie,ger,eng
9783833306624,Verlangen und Vergeltung,,Berlin,Berliner Taschenbuch-Verl.,2010,93,"Reyes, Alina",,"Wurster, Gaby",,,,ger,fre
9783902373526,Von nun an,,Wien,Luftschacht-Verl.,2010,106,"Breiteig, Bjarte",,"Strobel, Bernhard","Breiteig, Bjarte",,,ger,nor
9783423212113,Wallanders erster Fall,Ungekürzte Ausg.,München,Dt. Taschenbuch-Verl.,2010,425,"Mankell, Henning",,"Butt, Wolfgang","Mankell, Henning",,"Anthologie; Anthologie; Krimis, Thriller, Spionage",ger,swe
9783423247498,Was ist in dieser Nacht so anders?,Dt. Erstausg.,München,Dt. Taschenbuch-Verl.,2010,215,"Albert, Elisa",,"Mandelkow, Miriam","Albert, Elisa",,Anthologie; Anthologie,ger,eng
9783036955773,Weihnachtserinnerungen,,Zürich,Kein & Aber,2010,121,"Capote, Truman",,"Mössner, Ursula-Maria",,,,ger,eng
9783937603469,Weißer Hibiskus,,Heidelberg,Draupadi-Verl.,2010,85,Gītāñjali Śrī,,"Petersdorf, Anna",,,,ger,hin
9783876300931,"Wer das Leben liebt, der liebt auch Gott",,Hünfelden,Präsenz,2010,111,"Tolstoj, Lev Nikolaevič","Mattejiet, Ulrich","Löwenfeld, Raphael",,"Kandinsky, Wassily",,ger,rus
9783854356264,Wo verstecken sich die Schmetterlinge vor dem Regen,,Klagenfurt,Drava,2010,341,"Frančič, Franjo",,"Köstler, Erwin","Frančič, Franjo",,Anthologie; Anthologie,ger,slv
