ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
,"Ein Freigeist, ein Bleistift und ein paar Blatt Papier",Auflage 1,Wächtersbach,Erik Hagemann,2022,170,"Hagemann, Erik",,,,,Anthologie; Gemischte Anthologien,ger,
,Ein Rauschgoldengel plaudert,,Nürnberg,Selbstverlag Steffi Zachmeier,2022,56,"Zachmeier, Steffi",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,"Erzählt, gereimt, gesungen...",,"Eibenstock, OT Sosa/Erzgeb.",Europäischer Köhlerverband e.V.,2022,112,,"Tielke, Karl Josef",,,,Anthologie; Gemischte Anthologien,ger,
,Fehlzündungen,Privatdruck in limitierter Auflage,Moers,Martin Monsöhr,2022,207,"Monsöhr, Martin",,,,,Fiktionale Darstellung; Fantastische Literatur,ger,
,Feuer und Flamme,1. Auflage,Sonneberg,"Trautmann Druck, Verlag und Werbung",2022,137,"Rührich, Christel",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Fürstenherz,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2022,,,,,,,,ger,
,Fürstenkinder,,Hamburg,Kelter,2022,,,,,,,,ger,
,G-man Jerry Cotton,,Köln,Bastei Lübbe,2022,,,,,,,,ger,
,Gedichte und Geschichten,,42021,,2022,,,,,,,,ger,
,Gedichte und Geschichten,,42022,,2022,,,,,,,,ger,
,Geschichten aus einer norddeutschen Moorkolonie in den Jahren um 1800,,Oldenburg,Isensee Verlag,2022,,,,,,,Anthologie; Erzählende Literatur,ger; nds,
,Geschichten machen Mut,1. Auflage,Aue-Bad Schlema,Kontakt- und Informationsstelle für Selbsthilfe ERZ,2022,160,"Kartach, Karina",,,,,,ger,
,Geschichten machen Mut,,Aue-Bad Schlema,Kontakt- und Informationsstelle für Selbsthilfe ERZ,2022,2,"Kartach, Karina",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,G.O.D.S. Flucht durch die Zeit,,Köln,Axel Aldenhoven,2022,,"Aldenhoven, Axel",,,,,Fiktionale Darstellung; Science Fiction,ger,
,Hausaufgaben,,Leipzig,Nadja Lanart,2022,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Hexeneinmaleins,,Leipzig,Nadja Lanart,2022,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Huzei-Geschichten,,Altdorf,RoRo Hand & Kopfwerkstatt,2022,,"Humair, Roland","Humair, Roland",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,Ich schenk dir den Mond,,Leipzig,Nadja Lanart,2022,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Im Leben braucht man Phantasie,,Langgöns,Annette Schlapp,2022,48,"Schlapp, Annette",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Im wahrsten Sinne des Wortes,1. Auflage,Recklinghausen,Nicole Jentschel,2022,166,"Jentschel, Nicole",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Juni,,Årjäng,WeyTeCon Förlag,2022,444,"Tjärnväg, Larissa",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Kara Ben Nemsi - Abenteuer im magischen Orient,,Wetzlar,Phantastische Bibliothek,2022,74,,"Le Blanc, Thomas",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,Kurzgeschichten,,Neustadt an der Orla,Thami Verlag,2022,,"Zeltner, Verena",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Lichterweihnacht,,Buchholz,meer! Karin Buchholz,2022,18,"Buchholz, Karin",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Mir wird heiß,,Fellbach,Kim Kappelsberger c/o Block Services,2022,,"Kappelsberger, Kim",,,,,Anthologie; Erzählende Literatur,ger,
,Mitternachtgeschichten,1. Auflage,Weinsheim,Tanja Hanika,2022,224,"Hanika, Tanja",,,,,Anthologie; Horror,ger,
,Moment,,Leipzig,Nadja Lanart,2022,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Mut,,Leipzig,Nadja Lanart,2022,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Ostwärts - Erzählungen,,Armsheim,Eigenverlag,2022,148,,,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,Palais de Justice,,Bern,Druckwerck Stagna,2022,3,"Schlatter, Zaarg",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Reds,,Tübingen,Konkursbuch Verlag Claudia Gehrke,2022,,"Balducci, Roberto SaM",,,,,Anthologie; Erzählende Literatur,ger,
,Regen,,Leipzig,Nadja Lanart,2022,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Rettungslos,Erste Ausgabe,Giessen,Privatdruck Robert N. Bloch,2022,207,"Busson, Paul","Bloch, Robert N.",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,Savaged breed,,Fellbach,Benetton Blake c/o Block Services,2022,,"Blake, Benetton",,,,,Fiktionale Darstellung; Science Fiction,ger,
,Schinderhannes,,Graz,Institut für Germanistik der Universität Graz,2022,281,,"Müller-Kampel, Beatrix",,,,Anthologie; Gemischte Anthologien,ger,
,Sehr kurze Geschichten,,Leipzig,Nadja Lanart,2022,1,"Lanart, Nadja",,,,,,ger,
,Seit ich tot bin,,Leipzig,Nadja Lanart,2022,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Skurrile Dates,,Chemnitz,net-Verlag,2022,,,,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
