ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783869291086,Affenschande,,Cottbus,Regia-Verl.,2012,167,"Schatte, Hartmut",,,,,Anthologie; Anthologie; Anthologie; Erzählende Literatur: Anthologien,ger,
9783943481051,Böse Nacht Geschichten,,Mülheim an der Ruhr,Das erotische Sekretariat,2012,,"Spanks, Catherine",,,,,,ger,
9783518062128,Das erzählerische Werk,1. Aufl.,Berlin,Suhrkamp,2012,619,"Hesse, Hermann",,,,,,ger,
9783518062128,Das erzählerische Werk,1. Aufl.,Berlin,Suhrkamp,2012,505,"Hesse, Hermann",,,,,,ger,
9783518062128,Das erzählerische Werk,1. Aufl.,Berlin,Suhrkamp,2012,542,"Hesse, Hermann",,,,,,ger,
9783943481051,Facetten der Lust,"Orig.-Ausg., 1. Aufl.",Mülheim a.d. Ruhr,Das Erotische Sekretariat,2012,156,"Marcuse, Kat",,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783943295177,Kaffeepausengeschichten,Erstausg.,Ettlingen,TextLustVerl.,2012,60,,,,,"Ferbus, Bettina",,ger,
9783943295177,Kaffeepausengeschichten,2. Aufl.,Ettlingen,TextLustVerl.,2012,60,,,,,"Ferbus, Bettina",,ger,
9783980391191,Mit Karl Napf durch Deutschland,2. Aufl.,Berlin,Anikkänbrö & Knetemelk,2012,280,"Napf, Karl","Bartholmy, Martin",,,,Anthologie; Anthologie; Erzählende Literatur,ger,
9783905708929,neben einander zusammen leben,,Zürich,Editions à la carte Zürich,2012,,,,,,,Erzählende Literatur,ger,
9783905708929,Nebeneinander zusammenleben,2. Aufl.,Zürich,Nachbarschaft Zürich,2012,203,,,,,,Erzählende Literatur: Anthologien,ger,
9783257068399,Sämtliche Erzählungen,,Zürich,Diogenes,2012,523,"Mansfield, Katherine",,,,"Mansfield, Katherine",,ger,eng
