"person_id","person_name","debut_year","debut_segment","age_at_debut","under_30"
"P4359","Felmeth, Ingrid",2020,"B",NULL,NULL
"P4360","Felnhofer, Anna",2023,"LW",39,False
"P4363","Felti, Kris",2020,"B",NULL,NULL
"P4364","Felwitch, Nina",2013,"OP",25,True
"P4365","Fendel, Heike-Melba",2009,"B",48,False
"P4366","Fendel, Sophie",2023,"B",NULL,NULL
"P4368","Fenkart, Peter  Simon",2009,"B",NULL,NULL
"P4369","Fenkart, Rolf",2011,"B",NULL,NULL
"P4371","Fenners, Simone",2019,"B",NULL,NULL
"P4372","Fenninger, Maria-Theresia",2011,"B",56,False
"P4373","Fensel, Björn",2009,"B",NULL,NULL
"P4376","Fenzl, Paul",2015,"B",65,False
"P438","Anzengruber, Ludwig",2008,"B",169,False
"P4380","Ferdigg, Magdalena",2020,"B",18,True
"P4381","Ferdinand, Thorsten",2022,"B",NULL,NULL
"P4383","Ferenz, Rela",2013,"B",73,False
"P4384","Ferk, Janko",2013,"B",55,False
"P4386","Fernandes Schlegel, Carla",2022,"B",54,False
"P4388","Fernandez, Lucy",2012,"OP",18,True
"P4389","Ferner, Elke",2013,"B",58,False
"P439","Aoki, Shinya",2010,"OP",20,True
"P4391","Fernkäse, Uta",2019,"B",NULL,NULL
"P4393","Ferra-Mikura, Vera",2015,"B",92,False
"P4394","Ferrari, Elias",2023,"LW",NULL,NULL
"P4395","Ferrari, Esther",2017,"B",77,False
"P4396","Ferrari, Manuela",2022,"B",NULL,NULL
"P4397","Ferrero, Maurizio",2022,"B",57,False
"P4398","Ferretti, Giorgio",2020,"B",30,False
"P4399","Ferrigato, Markus",2021,"B",NULL,NULL
"P44","Abdullayev, Vugar",2020,"B",NULL,NULL
"P4400","Ferst, Marko",2021,"B",51,False
"P4407","Fette, Ute",2016,"B",NULL,NULL
"P4408","Fettig, Albin Josef",2008,"B",NULL,NULL
"P4409","Feucht, Veronica Müller-",2017,"B",NULL,NULL
"P441","Apel, Bernd",2021,"B",62,False
"P4410","Feuchtwanger, Lion",2008,"B",124,False
"P4411","Feuer, Tinten",2017,"OP",NULL,NULL
"P4412","Feuersenger, Gisela",2009,"B",NULL,NULL
"P4413","Fey, Mara",2022,"B",NULL,NULL
"P4415","Feyerherd, Vera",2011,"B",87,False
"P4416","Feyrer, Gundi",2008,"B",52,False
"P4417","Feßler, Lisa",2021,"B",NULL,NULL
"P4419","Fian, Antonio",2009,"B",53,False
"P4422","Fichtlscherer, Ludwig",2014,"B",90,False
"P4424","Fiebig, Rosemarie",2013,"B",NULL,NULL
"P4425","Fiederer, Friederike",2016,"B",NULL,NULL
"P4428","Fiedler, Christine",2020,"B",NULL,NULL
"P4429","Fiedler, Denise",2019,"B",26,True
"P443","Apfelstedt, Marianne",2023,"B",NULL,NULL
"P4430","Fiedler, Helmut",2015,"B",74,False
"P4431","Fiedler, Silvia",2015,"B",61,False
"P4432","Fiedler, Thorsten",2023,"B",61,False
"P4433","Fiege, Daniela",2021,"B",NULL,NULL
"P4434","Fiege, Günther",2013,"B",75,False
"P4435","Fiege, Jürgen",2023,"B",81,False
"P4436","Fienhold, Wolfgang",2011,"B",61,False
"P4437","Fieseler, Kristin",2019,"B",NULL,NULL
"P4438","Fietz, Anna",2019,"B",NULL,NULL
"P444","Apostel, Anja",2021,"B",NULL,NULL
"P4440","Fiktschen, Blanko",2014,"B",33,False
"P4442","Filbig, Andreas",2012,"B",30,False
"P4443","Fildebrandt, Ulf",2018,"B",46,False
"P4444","Fildhaut, Joachim",2016,"B",60,False
"P4446","Filius, Lorenz",2021,"B",56,False
"P4448","Fillion, Bubby",2015,"OP",NULL,NULL
"P4449","Filou",2015,"B",NULL,NULL
"P445","Apothekerkind, Das",2021,"B",NULL,NULL
"P4450","Filz, Sylvia",2013,"B",52,False
"P4451","Fimmers, Jan",2017,"B",NULL,NULL
"P4454","Finde es heraus.., Lolaa",2010,"OP",NULL,NULL
"P4455","Findeis, Patrick",2008,"LW",33,False
"P4456","Findling, Jessica",2017,"B",NULL,NULL
"P4457","Finger, Bernhard",2016,"B",NULL,NULL
"P4458","Finger, Dagmar",2016,"B",62,False
"P4459","Finger, Helmut",2010,"B",76,False
"P446","Appel, Franziska",2019,"B",33,False
"P4460","Finger-de Lall, Eva",2009,"B",79,False
"P4462","Fink, Katha",2020,"OP",15,True
"P4463","Fink, Leonie",2021,"B",NULL,NULL
"P4464","Fink, Michael",2012,"B",45,False
"P4466","Finke, Frank M.",2008,"B",NULL,NULL
"P4468","Finke, Johannes",2017,"B",43,False
"P447","Appel, Jana",2016,"B",NULL,NULL
"P4471","Finkeldey, Herwig",2021,"B",55,False
"P4474","Finkler, Heinrich",2014,"B",84,False
"P4475","Finley, Elias",2021,"B",NULL,NULL
"P4476","Finn, Juli D.",2018,"B",NULL,NULL
"P4478","Finnegan, Meara",2020,"B",NULL,NULL
"P4479","Finze-Michaelsen, Holger",2019,"B",61,False
"P4480","Fiore, Angelo",2023,"B",115,False
"P4481","Fioretos, Aris",2017,"LZ",57,False
"P4482","Fircks, Christoph von",2020,"B",77,False
"P4483","Fire, Red",2014,"OP",15,True
"P4485","Firephoenix, Phantom",2017,"OP",NULL,NULL
"P4487","Firzinger, Susanne",2013,"B",NULL,NULL
"P4489","Fischer, Annette-Josefine",2008,"B",NULL,NULL
"P449","Appelbe, Uwe W.",2017,"B",53,False
"P4490","Fischer, Arnold",2022,"B",NULL,NULL
"P4492","Fischer, Bernd Erhard",2012,"B",64,False
