"person_id","person_name","objekt_typ","rolle","objekt_id","publikationsjahr"
"P13283","Pfolz, Karin","Buch","VerfasserIn Buch","9783903161146",2016
"P8499","Kelly, Aiden","Buch","VerfasserIn Buch","9783384038029",2023
"P18905","Wehmann, Ulrich","Buch","VerfasserIn Buch","9783869488394",2021
"P19903","Zech, Andrea","Buch","VerfasserIn Buch","9783347463813",2022
"P195","Albers, Connie","Buch","Sonstige Rolle Buch","9789403631615",2021
"P7689","Ibiary, Odette el","Buch","VerfasserIn Buch","9783946072003",2016
"P20377","von Tingen, Ötti","Buch","Sonstige Rolle Buch","9783942229630",2012
"P19202","Westerhoff, Rolf","Buch","Sonstige Rolle Buch","9783959664639",2020
"P9101","Koller, Robert","Buch","VerfasserIn Buch","9783946348412",2023
"P20017","Zimmermann, Simon","Buch","Sonstige Rolle Buch","9783942229968",2013
"P10621","Loose, Holly","Buch","VerfasserIn Buch","9783943412963",2020
"P12178","Müller, Sasha","Literaturwettbewerb Ausgabe","Jurymitglied","WA235",2022
"P1699","Bobrowski, Johannes","Buch","VerfasserIn Buch","9783803113252",2017
"P4303","Fenners, Simone","Buch","VerfasserIn Buch","9783957202598",2019
"P3537","Dumas d.Ä., Alexandre","Buch","VerfasserIn Buch","9783756504954",2022
"P5518","Gramelsberger, Kerstin","Buch","VerfasserIn Buch","9783981648157",2016
"P14645","Rubinowitz, Tex","Buch","Sonstige Rolle Buch","9783902950031",2014
"P20340","von Bülow, G.G.","Buch","Sonstige Rolle Buch","9783957201232",2015
"P5725","Groß, Alayna Angelika","Buch","Sonstige Rolle Buch","9783942229357",2011
"P11657","Michaels, Adi Mira","Buch","VerfasserIn Buch","9783932207570",2014
"P12181","Müller, Steffi","Buch","Sonstige Rolle Buch","9783940853387",2015
"P7522","Huster, Jana","Buch","VerfasserIn Buch","9783941935136",2023
"P6843","Herber, Claudia","Buch","VerfasserIn Buch","9783828033429",2016
"P3752","Ehl, Karin","Buch","VerfasserIn Buch","9783969403075",2022
"P17273","Stoll, Beatrice","Literaturwettbewerb Ausgabe","Jurymitglied","WA127",2013
"P8376","Kastell, Agga","Buch","VerfasserIn Buch","9783981782967",2017
"P17859","Thomas, Sabine","Buch","VerfasserIn Buch","9783945710012",2016
"P19712","Wozniak, Waltraut","Buch","Sonstige Rolle Buch","9783942229197",2011
"P3518","Du Pré, Corinne","Buch","VerfasserIn Buch","9783964775719",2020
"P9745","Köhler-Terz, Iris","Buch","VerfasserIn Buch","9783957202024",2018
"P11403","Meggyesi, Zsófia","Buch","VerfasserIn Buch","9783967412215",2023
"P6067","Haas, Margit","Buch","Sonstige Rolle Buch","9783863320232",2014
"P5498","Graf, Mia","Buch","VerlegerIn Buch","9783384053565",2023
"P1210","Bendixen, Katharina","Buch","VerfasserIn Buch","9783940691972",2019
"P7271","Hohler, Franz","Buch","VerfasserIn Buch","9783630874562",2014
"P5533","Granzow, Birgit","Buch","Unklare Rolle Buch","9783746999951",2018
