"koerperschaft_name","koerperschaft_name_gnd","gnd_sachgruppe","name_flag"
"Op der Lay","Op der Lay (Esch-sur-Sûre)","Buchwissenschaft, Buchhandel",NULL
"Opus Magnum","opus magnum","Buchwissenschaft, Buchhandel",NULL
"Orange Cursor Verlag","Verlag Orange Cursor","Buchwissenschaft, Buchhandel","Verlag"
"Osburg Verlag","Osburg Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"OsirisDruck","OsirisDruck","Buchwissenschaft, Buchhandel","Druckerei"
"Ostendorf Verlag","Nordstyle-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Ostfalia-Verl.","Ostfalia-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Otto Lach Verlagsanstalt","Otto Lach Verlagsanstalt","Buchwissenschaft, Buchhandel","Verlag"
"Otto Müller Verlag","Otto Müller Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Otto-Johann-Verlag","Otto-Johann Verlag","Buchwissenschaft, Buchhandel","Verlag"
"POSS Verlag","Eva Poss POSS Verlag","Buchwissenschaft, Buchhandel","Verlag"
"PROverbis","PROverbis e.U. Verlagsservice und Verlag","Buchwissenschaft, Buchhandel","Verlag"
"PRovoke Media","PRovoke Media UG","Buchwissenschaft, Buchhandel",NULL
"Palabros de Cologne","Palabros de Cologne","Buchwissenschaft, Buchhandel",NULL
"Pallotti","Pallotti-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Palm und Enke","Palm & Enke","Buchwissenschaft, Buchhandel",NULL
"PalmArtPress","PalmArtPress","Buchwissenschaft, Buchhandel",NULL
"Palmyra","Palmyra Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Pandämonium-Verlag","Pandämonium Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Panga-Misi Verlag","PANGAI-MISI-VERLAG","Buchwissenschaft, Buchhandel","Verlag"
"Panther Power Publ.","Panther Power Publishing","Buchwissenschaft, Buchhandel",NULL
"Papierflieger","Papierflieger Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Papierfresserchens MTM-Verlag","Papierfresserchens MTM-Verlag GbR","Buchwissenschaft, Buchhandel","Verlag"
"Papierverzierer","Papierverzierer Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Paracelsus Buchhandlung & Verlag","Paracelsus Buchhandlung & Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Paramon Verlag","Paramon Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Paranus-Verl.","Paranus Verlag Brücke Neumünster","Buchwissenschaft, Buchhandel","Verlag"
"Parthas","Parthas Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Parzellers Buchverlag","Parzellers Buchverlag und Werbemittel GmbH & Co. KG","Buchwissenschaft, Buchhandel","Verlag"
"Passage-Verlag","Passage-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Passanten Verlag","Passanten Verlag (Berlin)","Buchwissenschaft, Buchhandel","Verlag"
"Passion Publ.","Passion Publishing Limited","Buchwissenschaft, Buchhandel",NULL
"Pastis-Verl.","Pastis Verlags GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Patmos Verlag","Patmos-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Patris-Verl.","Patris-Verlag (Vallendar)","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Pattloch Verlag","Paul Pattloch Buchhandlung und Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Pauerstoff","Pauerstoff Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Paul Zsolnay Verlag","Paul-Zsolnay-Verlag (Wien)","Buchwissenschaft, Buchhandel","Verlag"
"Paulinus","Paulinus Verlag","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Paulo Freire Verlag","Paulo Freire Verlag - Dialogische Erziehung","Buchwissenschaft, Buchhandel","Verlag"
"Paulusverlag","Paulusverlag (Einsiedeln)","Buchwissenschaft, Buchhandel","Verlag"
"Pax et Bonum","Pax et Bonum e.K.","Buchwissenschaft, Buchhandel","Unternehmen"
"Pegasus Verein für kreatives Schreiben e.V.","Pegasus Verein für Kreatives Schreiben","Buchwissenschaft, Buchhandel","Verein"
"Pendo","Pendo Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Penn-Club 2000 e.V.-Verlag","Penn-Club 2000 e.V.","Buchwissenschaft, Buchhandel","Verein"
"Periplaneta","Periplaneta Verlag und Mediengruppe","Buchwissenschaft, Buchhandel","Verlag"
"Persimplex-Verlag","Persimplex Verlagsgruppe","Buchwissenschaft, Buchhandel","Verlag"
"Petama-Project-Verl.","Verlag Petama Project","Buchwissenschaft, Buchhandel","Verlag"
"Peter Hammer Verlag","Peter Hammer Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Pfeifenberger","Wolfgang Pfeifenberger (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Pferdoman","Pferdoman","Buchwissenschaft, Buchhandel",NULL
"Philipp von Zabern","Verlag Philipp von Zabern","Buchwissenschaft, Buchhandel","Verlag"
"Picus Verlag","Picus-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Piepmatz-Verl.","piepmatz Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Pigmentar Verlag","Pigmentar GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Pilgerverlag","Pilgerverlag","Buchwissenschaft, Buchhandel","Verlag"
"Pilum Literatur Verlag","Pilum Literatur Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Pingpong-Verl.","Pingpong-Verlag Buchinger","Buchwissenschaft, Buchhandel","Verlag"
"Piper","Piper Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Pirrot","Digitaldruck Pirrot GmbH","Buchwissenschaft, Buchhandel","Druckerei"
"Plaggenhauer","PLAGGENHAUER Verlag e.K.","Buchwissenschaft, Buchhandel","Verlag"
"PoCul-Verlag","PoCul- Politik und Cultur e.V.","Buchwissenschaft, Buchhandel","Verein"
"Poetenladen","Poetenladen","Buchwissenschaft, Buchhandel",NULL
"Pohlmann Verlag","Venusberg Verlag Pohlmann KG","Buchwissenschaft, Buchhandel","Verlag"
"Polamedia-Verl.","polamedia Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Pomaska-Brand","Druck und Verlag Pomaska-Brand GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Pop Verlag","Pop Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Port-Royal-Verl.","Port Royal Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Praesens","Praesens VerlagsgesmbH","Buchwissenschaft, Buchhandel","Verlag"
"Praesens Verlag","Praesens VerlagsgesmbH","Buchwissenschaft, Buchhandel","Verlag"
"Premio-Verl.","Premio Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Pretty Print","Pretty Print","Buchwissenschaft, Buchhandel",NULL
"Preußler","Preußler Druck + Versand","Buchwissenschaft, Buchhandel","Druckerei"
"Primero-Verl.","PRIMERO VERLAG GMBH","Buchwissenschaft, Buchhandel","Verlag"
"Principal-Verl.","Principal Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Printsystem Medienverlag","printsystem Medienverlag GdbR H. Harfensteller u. W. Petersdorf","Buchwissenschaft, Buchhandel","Verlag"
"Priwet Litera","Priwet Litera Ltd.","Buchwissenschaft, Buchhandel",NULL
"Pro BUSINESS","Pro Business Digital Printing & Copyservice GmbH (Berlin)","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Unternehmen"
"Pro Libro","Verlag Pro Libro Luzern","Buchwissenschaft, Buchhandel","Verlag"
"Pro Mente Edition","pro mente edition","Buchwissenschaft, Buchhandel","Verlag"
"Pro Message","pro MESSAGE oHG","Buchwissenschaft, Buchhandel","Unternehmen"
"Projekt Verlag","Projekte-Verlag Cornelius GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Prolibris Verlag","Prolibris Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Promedia","Promedia Verlag","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Prospero","Prospero Verlag Münster","Buchwissenschaft, Buchhandel","Verlag"
"Provinz-Verl.","Provinz Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Proyect Wogama","Proyect Wogama Ltd.","Buchwissenschaft, Buchhandel",NULL
"Pubbles","Pubbles GmbH & Co. KG","Buchwissenschaft, Buchhandel","Unternehmen"
"Puntas Reportagen","Puntas Reportagen AG","Buchwissenschaft, Buchhandel",NULL
"Puregraphik","Verlag Puregraphik","Buchwissenschaft, Buchhandel","Verlag"
"Pustet","Anton Pustet Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Quadrate TV Evelyn und Hans-Georg Sandmann","Quadrate TV e.K.","Buchwissenschaft, Buchhandel","Unternehmen"
"Quadratkreis-Autorenverl.","QUADRATKREIS Autorenverlag","Buchwissenschaft, Buchhandel","Verlag"
"Quadriga","Quadriga","Buchwissenschaft, Buchhandel",NULL
"Queich Verlag","Queich Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Quermarken-Verl.","Quermarken Verlag oHG","Buchwissenschaft, Buchhandel","Verlag"
"Querverlag","Querverlag","Buchwissenschaft, Buchhandel","Verlag"
"Quetsche, Verl. für Buchkunst","Quetsche, Verlag für Buchkunst","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Quickborn Verlag","Quickborn-Verlag Peer-Marten Scheller","Buchwissenschaft, Buchhandel","Verlag"
"Quickborn-Verlag","Quickborn-Verlag Peer-Marten Scheller","Buchwissenschaft, Buchhandel","Verlag"
"R & W Verlag der Editionen","R & W Verlag der Editionen KG","Buchwissenschaft, Buchhandel","Verlag"
"R.G. Fischer Verlag","R.G. Fischer Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"RDI-Verl.","RDI Verlag","Buchwissenschaft, Buchhandel","Verlag"
"REGIA Verlag","REGIA VERLAG","Buchwissenschaft, Buchhandel","Verlag"
"RMd-Verlag","RMd Verlag","Buchwissenschaft, Buchhandel","Verlag"
"ROPO-Verl.","Ropo-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"ROWOHLT Repertoire","Rowohlt Verlag","Buchwissenschaft, Buchhandel","Verlag"
"RS-Verlag","RS-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Radius Verlag","Radius-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Ratio-Books","ratio-books","Buchwissenschaft, Buchhandel",NULL
"Rauhreif-Verl.","Rauhreif Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Rautenberg","Rautenberg Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Razamba","Verlag Razamba","Buchwissenschaft, Buchhandel","Verlag"
"Reader's Digest","Reader's Digest Association","Buchwissenschaft, Buchhandel",NULL
"Red Rabbit","Red Rabbit","Buchwissenschaft, Buchhandel",NULL
"Rediroma Verlag","Rediroma-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Regelverlag","Regelverlag","Buchwissenschaft, Buchhandel","Verlag"
"Regia","REGIA VERLAG","Buchwissenschaft, Buchhandel","Verlag"
"Regia Verlag","REGIA VERLAG","Buchwissenschaft, Buchhandel","Verlag"
"Regionalia Verlag","Regionalia Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Reichert","Verlag Dr. Ludwig Reichert Inhaberin Ursula Reichert","Buchwissenschaft, Buchhandel","Verlag"
"Reiffer","Verlag Andreas Reiffer","Buchwissenschaft, Buchhandel","Verlag"
"Reimo-Verlag","Reimo-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Reinecke & Voß","Verlag Reinecke & Voß","Buchwissenschaft, Buchhandel","Verlag"
"Reischl Roland Verlag","Roland Reischl Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Reise-Know-How-Verl. Hermann","Reise Know-How Verlag Hermann","Buchwissenschaft, Buchhandel","Verlag"
"RenMai Verlag","RenMai Verlag Agentur Bauer","Buchwissenschaft, Buchhandel","Verlag"
"Rendezvous Verlag","Rendezvous-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Renneritz Verlag","Renneritz Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Residenz Verlag","Residenz Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Resistenz-Verl.","Resistenz","Buchwissenschaft, Buchhandel",NULL
"Rhein Wörtlich","rhein wörtlich e.V.","Buchwissenschaft, Buchhandel","Verein"
"Rhein-Mosel-Verlag","Rhein-Mosel-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Rheinischer Landwirtschafts-Verl.","Rheinischer Landwirtschafts-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Rheinlandia-Verl.","Rheinlandia Verlag & Antiquariat","Buchwissenschaft, Buchhandel","Verlag"
"RiWei-Verl.","Riwei-Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Richmond-Verl.","Richmond Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Rimbaud Verlag","Rimbaud Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Ripperger & Kremers","Ripperger & Kremers Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Ripperger & Kremers Verlag","Ripperger & Kremers Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Ritschel","Jürgen Ritschel (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Rockstuhl","Verlag Rockstuhl","Buchwissenschaft, Buchhandel","Verlag"
"Roderer","Roderer","Buchwissenschaft, Buchhandel",NULL
"Roland Reischl Verlag","Roland Reischl Verlag","Buchwissenschaft, Buchhandel","Verlag"
"RomanVerl.","RomanVerlag","Buchwissenschaft, Buchhandel","Verlag"
"Romantruhe - Buchversand","Romantruhe - Buchversand","Buchwissenschaft, Buchhandel",NULL
"Rosamontis-Verl.","Rosamontis Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Rosenfluh Publikationen AG","Rosenfluh Publikationen AG","Buchwissenschaft, Buchhandel",NULL
"Rot und Licht","Rot und Licht","Buchwissenschaft, Buchhandel",NULL
"Rotabene Medienhaus","Rotabene Data Service GmbH & Co. KG","Buchwissenschaft, Buchhandel","Unternehmen"
"Rotbuch-Verl.","Rotbuch Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Rotenbach-Verl.","Rotenbach Verlag GmbH & Co. KG","Buchwissenschaft, Buchhandel","Verlag"
"Rotpunktverlag","Rotpunktverlag","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Rotten Verlag","Rotten Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Rowohl Polaris","Rowohlt Polaris Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Rowohlt","Rowohlt Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Rowohlt Berlin","Rowohlt Berlin Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Rowohlt Hundert Augen","Rowohlt Hundert Augen (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Rowohlt Repertoire","Rowohlt Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Rowohlt Taschenbuch Verlag","Rowohlt Taschenbuch Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Rowohlt Verlag GmbH","Rowohlt Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Ruhland Verlag","Ruhland Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Röll","Verlag J.H. Röll","Buchwissenschaft, Buchhandel","Verlag"
"Röser-Presse","Röser Presse GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Rübenberger Verl. Weiß","Rübenberger Verlag","Buchwissenschaft, Buchhandel","Verlag"
"S. Fischer Verlag","S. Fischer Verlag","Buchwissenschaft, Buchhandel","Verlag"
"S. Hirzel Verlag","S. Hirzel Verlag (Stuttgart)","Buchwissenschaft, Buchhandel","Verlag"
"S. Roderer Verlag","Roderer","Buchwissenschaft, Buchhandel",NULL
"S. Sell Heimat-Verlag","Heimat-Verlag Altenburg","Buchwissenschaft, Buchhandel","Verlag"
"S.Fischer","S. Fischer Verlag","Buchwissenschaft, Buchhandel","Verlag"
"SCALA Verlag","Scala Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"SCRATCH Verlag","SCRATCH Verlag","Buchwissenschaft, Buchhandel","Verlag"
"SCW Auer-Sällef","SCW Auer-Sällef","Buchwissenschaft, Buchhandel",NULL
"SJM-Verl.","SJM-Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"SJW","SJW Schweizerisches Jugendschriftenwerk","Buchwissenschaft, Buchhandel; Bildungswesen (Allgemeines); Literarisches Leben",NULL
"SP-Verlag","SP-Verlag Medien oHG","Buchwissenschaft, Buchhandel","Verlag"
"SUKULTUR","SuKuLTuR","Buchwissenschaft, Buchhandel",NULL
"SWR Media Services GmbH","SWR Media Services GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Saarländisches Künstlerhaus","Saarländisches Künstlerhaus Saarbrücken","Buchwissenschaft, Buchhandel",NULL
"Safari-Discoverer-Verlag","Safari-Discoverer Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Sagner","Kubon & Sagner","Buchwissenschaft, Buchhandel",NULL
"Salier Verlag","Salier Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Salis","Salis Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Salon-LiteraturVerl.","SALON LiteraturVerlag","Buchwissenschaft, Buchhandel","Verlag"
"Salonlöwe-Verl.","Salonlöwe Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Samenkorn e.V.","Samenkorn e.V.","Buchwissenschaft, Buchhandel","Verein"
"SaniVal","SaniVal","Buchwissenschaft, Buchhandel",NULL
"Sankt-Ulrich-Verl.","Sankt-Ulrich-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Saphir im Stahl","Saphir im Stahl (Körperschaft)","Buchwissenschaft, Buchhandel",NULL
"Sarastro","Sarastro GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Sarturia Verlag e.K. Autoren Service","Sarturia Verlag e.K. Autoren-Service","Buchwissenschaft, Buchhandel","Verlag"
"Sassafras","Sassafras Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Satyr-Verl.","Satyr-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Satzwerk-Verl.","Satzwerk","Buchwissenschaft, Buchhandel",NULL
"Saunar","Reiner Saunar (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Sautter, Verlag für Systemische Konzepte","Verlag für Systemische Konzepte","Buchwissenschaft, Buchhandel","Verlag"
"Schalita-Verl.","Schalita-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Schalk-Verl. Scherer","Schalk-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Schardt Verlag","Schardt Verlag e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Schattenlicht-Verl.","Schattenlicht Verlag UG (haftungsbeschränkt)","Buchwissenschaft, Buchhandel","Verlag"
"Schibri-Verlag","Schibri-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Schiermeier","Franz Schiermeier (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Schiler***5005585","Verlag Hans Schiler","Buchwissenschaft, Buchhandel","Verlag"
"Schiller Verlag","Schiller Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Schillinger Verlag","Schillinger Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Schirner Verlag","Schirner Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Schlosser","Verlagshaus Schlosser","Buchwissenschaft, Buchhandel","Verlag"
"Schlütersche","Schlütersche Verlagsanstalt und Druckerei","Buchwissenschaft, Buchhandel","Verlag"
"Schmenk","Nicole Schmenk (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Schmetterling Stuttgart","Schmetterling-Verlag (Stuttgart)","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Schmid Otreba Seitz Medien","Schmid Otreba Seitz Medien GmbH & Co. KG","Buchwissenschaft, Buchhandel","Unternehmen"
"Schmidt & Klaunig","Schmidt und Klaunig (Kiel)","Buchwissenschaft, Buchhandel",NULL
"Schmidt von Schwind","Schmidt von Schwind Verlag UG (haftungsbeschränkt)","Buchwissenschaft, Buchhandel","Verlag"
"Schmöker-Verl.","Schmöker Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Schmöker-Verl. Bienert","Schmöker Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Schneider Hohengehren","Schneider Verlag Hohengehren GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Schnell","Verlag Schnell Peter Salmann","Buchwissenschaft, Buchhandel","Verlag"
"Scholastika-Verlag","Scholastika-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Schreiblust-Verlag","Schreiblust-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Schreibwerkstatt SCHRIFT:gut","Schrift:gut Schreibwerkstatt Carsten und Wolfgang Gerz (Westernohe)","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks",NULL
"Schroer","CH. SCHROER GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Schruf & Stipetic","Schruf & Stipetic","Buchwissenschaft, Buchhandel",NULL
"Schröder Verlag","Schroeder Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Schuler","Verlag F. Schuler","Buchwissenschaft, Buchhandel","Verlag"
"Schwager & Steinlein","Schwager & Steinlein Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Schwarzkopf & Schwarzkopf","Schwarzkopf & Schwarzkopf Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Schweikert-Bonn-Verl.","Schweikert-Bonn-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Schweitzerhaus-Verl.","Schweitzerhaus Verlag Karin Schweitzer e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Schweizer Literaturgesellschaft","Schweizer Literaturgesellschaft","Buchwissenschaft, Buchhandel","Gemeinschaft"
"Schöffling & Co.","Schöffling & Co.","Buchwissenschaft, Buchhandel",NULL
"Schöningh","Verlag Ferdinand Schöningh","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Schünemann","Carl Ed. Schünemann KG","Einzelne Branchen der Industrie und des Handwerks; Papierherstellung, Grafische Technik; Buchwissenschaft, Buchhandel","Verlag"
"Schütze, Engler, Weber","Schütze, Engler, Weber Verlags GbR","Buchwissenschaft, Buchhandel","Verlag"
"Scribo Verlag","Scribo Verlagsgesellschaft","Buchwissenschaft, Buchhandel","Verlag"
"Secession, Verl. für Literatur","Secession Verlag für Literatur","Buchwissenschaft, Buchhandel","Verlag"
"Seestern Verlag","Seestern Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Segler","Peter Segler Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Seidler","Lothar Seidler (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Seifert Verlag","Seifert Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Seilschaft-Verl.","Roland Wagner Seilschaft Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Seitenblick","Seitenblick","Buchwissenschaft, Buchhandel",NULL
"Seitenstraßen Verlag","Seitenstraßen Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Selbstlesebuch","Dein Selbstlesebuch","Buchwissenschaft, Buchhandel",NULL
"Selbstverlag","Selbstverlag","Buchwissenschaft, Buchhandel","Verlag"
"Semann Verlag","Semann Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Semikolon-Verl.","Semikolon-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Semmelroch","Frantz-Semmelroch Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Septime","Septime Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Septime Verlag","Septime Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Servitus-Verl.","Servitus Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Servus Verlag","Servus Verlag (Firma)","Buchwissenschaft, Buchhandel","Verlag"
"Severus Verlag","Severus Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Shaker Verlag","Shaker Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Shayol","Shayol","Buchwissenschaft, Buchhandel",NULL
"Shoebox House","Shoebox House Verlag e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Sich","Wolfgang Sich (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Sieben Verlag","Sieben-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Siebenstern-Dr.","Siebenstern-Druckerei Schliekau KG","Buchwissenschaft, Buchhandel","Druckerei"
"Sigena-Verl.","Sigena-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Silbenflink-Verl.","Silbenflink Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Silberburg Verlag","Silberburg-Verlag Titus Häussermann","Buchwissenschaft, Buchhandel","Verlag"
"Silberkrone Verlag","Silberkrone Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Silver-Horse-Ed.","Silver Horse Edition","Buchwissenschaft, Buchhandel","Verlag"
"Simon Verlag für Bibliothekswissen","Simon Verlag für Bibliothekswissen e.K.","Buchwissenschaft, Buchhandel","Verlag"
"SingLiesel Verlag","Singliesel GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Sisyphus","Sisyphus Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Situationspresse","Situationspresse","Buchwissenschaft, Buchhandel",NULL
"Siva-Natara Verlag","Siva Natara-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Skarabäus","Skarabaeus Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Skopus-Verl.","Günter  von Deyen Skopus-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Sokrates & Freunde GmbH","Sokrates & Freunde GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Solibro-Verl.","Solibro Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Soll-und-Haben-Verl.","Soll und Haben Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Somedia Buchverlag","Somedia Buchverlag","Buchwissenschaft, Buchhandel","Verlag"
"Sommerfeld","Antje Sommerfeld (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Sonderpunkt-Verl.","sonderpunkt Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Songdog-Verl.","Songdog Verlag","Buchwissenschaft, Buchhandel","Verlag"
"SoralPro-Verl.","SoralPRO Verlag","Buchwissenschaft, Buchhandel","Verlag"
"SpaceNet Verlag","SpaceNet AG (München)","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks",NULL
"Spector Books","Spector Books OHG","Buchwissenschaft, Buchhandel","Unternehmen"
"Sperling-Verlag","Sperling Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Sphera-Verl.","Sphera Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Spica-Verl.","Spica Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Spielberg Verlag","Spielberg-Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Spirit-Rainbow-Verl.","Spirit Rainbow Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Spohr","Spohr Verlag Hagar Spohr u. Salim Spohr","Buchwissenschaft, Buchhandel","Verlag"
"Spurbuchverlag","Spurbuchverlag","Buchwissenschaft, Buchhandel","Verlag"
"Sputniks Werbeagentur","Sputniks-Werbeagentur (München)","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks",NULL
