"koerperschaft_id","koerperschaft_name","koerperschaft_name_gnd","gnd_sachgruppe","name_flag","literaturfern_status","bemerkung","website","updated_at"
"K1464","Initiative DarkSky Nord",NULL,NULL,NULL,"true","Initiative für nachhaltige Außenbeleuchtung","https://www.darksky-nord.de/","2026-04-12 16:34:48.658505"
"K1465","Inkitt Inc.",NULL,NULL,NULL,"false","reader-powered publisher","https://www.inkitt.com/","2026-04-12 16:34:48.658505"
"K1466","Innerhofer, Agnes","Innerhofer, Agnes",NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K1467","Innings, Ava","Innings, Ava",NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K1473","Institut für Digitale Ethik","Institut für Digitale Ethik",NULL,"Institut","true",NULL,NULL,"2026-04-12 16:34:48.658505"
"K1474","Institut für deutsche Sprache und Literatur I, Universität zu Köln","Universität zu Köln. Institut für Deutsche Sprache und Literatur I",NULL,"Institut","false",NULL,NULL,"2026-04-12 19:24:36.816104"
"K1475","Interforum e.V.","Interforum e.V.",NULL,"Verein","true","Kunst- und Kulturverein",NULL,"2026-04-12 16:34:48.658505"
"K1484","Izdatelstvo Vesi",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1485","J. Flume",NULL,NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K1486","J. Kissel",NULL,NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K1487","J. Münch",NULL,NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K1491","JFF",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1493","JOJO","Jojo","Musik (Allgemeines), Musikgeschichte",NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1497","JVA Hannover","Justizvollzugsanstalt (Hannover)",NULL,NULL,"true","Justizvollzugsanstalt","https://www.justizvollzugsanstalt-hannover.niedersachsen.de/startseite/","2026-04-12 16:34:48.658505"
"K1498","JWV Wiemann",NULL,NULL,NULL,"false","Verlag","https://www.wiemannverlag.de/","2026-04-12 16:34:48.658505"
"K15","A. Hennig",NULL,NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K1504","Jan Deichmohle c/o AutorenServices.de",NULL,NULL,NULL,"false",NULL,NULL,"2026-04-12 19:24:36.816104"
"K1505","Janson",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1508","Jeetzelbuch",NULL,NULL,NULL,"false",NULL,NULL,"2026-04-12 19:24:36.816104"
"K1512","Jes Schön  c/o WirFinden.Es Naß und Hellie GbR",NULL,NULL,"Unternehmen","unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K1513","Jes Schön c/o WirFinden.Es Naß und Hellie GbR",NULL,NULL,"Unternehmen","unklar","Person",NULL,"2026-04-12 16:34:48.658505"
