"koerperschaft_id","kategorie","n_publikationsbeteiligungen"
"K1577","definitiv Verlag (Name + Sachgruppe)",3
"K1578","definitiv Verlag (Name + Sachgruppe)",9
"K158","definitiv Verlag (Name + Sachgruppe)",8
"K1583","definitiv Verlag (Name + Sachgruppe)",1
"K1584","definitiv Verlag (Name + Sachgruppe)",20
"K1587","definitiv Verlag (Name + Sachgruppe)",36
"K1589","definitiv Verlag (Name + Sachgruppe)",3
"K159","definitiv Verlag (Name + Sachgruppe)",1
"K1590","definitiv Verlag (Name + Sachgruppe)",7
"K1591","definitiv Verlag (Name + Sachgruppe)",2
"K1592","definitiv Verlag (Name + Sachgruppe)",3
"K1593","definitiv Verlag (Name + Sachgruppe)",10
"K1595","definitiv Verlag (Name + Sachgruppe)",8
"K1596","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1598","definitiv Verlag (Name + Sachgruppe)",2
"K1599","definitiv Verlag (Name + Sachgruppe)",9
"K16","definitiv Verlag (Name + Sachgruppe)",1
"K160","definitiv Verlag (Name + Sachgruppe)",23
"K1601","definitiv Verlag (Name + Sachgruppe)",7
"K1602","definitiv Verlag (Name + Sachgruppe)",0
"K1603","definitiv Verlag (Name + Sachgruppe)",6
"K161","definitiv Verlag (Name + Sachgruppe)",1
"K1610","definitiv Verlag (Name + Sachgruppe)",7
"K1613","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1617","definitiv Verlag (Name + Sachgruppe)",1
"K162","definitiv Verlag (Name + Sachgruppe)",1
"K1620","definitiv Verlag (Name + Sachgruppe)",2
"K1622","definitiv Verlag (Name + Sachgruppe)",1
"K1623","definitiv Verlag (Name + Sachgruppe)",3
"K1625","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1627","definitiv Verlag (Name + Sachgruppe)",2
"K1628","definitiv Verlag (Name + Sachgruppe)",1
"K163","definitiv Verlag (Name + Sachgruppe)",11
"K1630","definitiv Verlag (Name + Sachgruppe)",1
"K1632","definitiv Verlag (Name + Sachgruppe)",1
"K1633","definitiv Verlag (Name + Sachgruppe)",4
"K1634","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1635","definitiv Verlag (Name + Sachgruppe)",1
"K1639","definitiv Verlag (Name + Sachgruppe)",1
"K164","definitiv Verlag (Name + Sachgruppe)",2
"K1640","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1641","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1642","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1646","definitiv Verlag (Name + Sachgruppe)",7
"K1653","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1654","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1661","definitiv Verlag (Name + Sachgruppe)",2
"K1662","definitiv Verlag (Name + Sachgruppe)",1
"K1664","definitiv Verlag (Name + Sachgruppe)",1
"K1665","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1666","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1667","definitiv Verlag (Name + Sachgruppe)",1
"K1669","definitiv Verlag (Name + Sachgruppe)",2
"K167","definitiv Verlag (Name + Sachgruppe)",1
"K1671","definitiv Verlag (Name + Sachgruppe)",4
"K1672","definitiv Verlag (Name + Sachgruppe)",1
"K1675","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1676","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1678","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1679","definitiv Verlag (Name + Sachgruppe)",1
"K1680","definitiv Verlag (Name + Sachgruppe)",6
"K1681","definitiv Verlag (Name + Sachgruppe)",14
"K1682","definitiv Verlag (Name + Sachgruppe)",2
"K1686","definitiv Verlag (Name + Sachgruppe)",1
"K1687","definitiv Verlag (Name + Sachgruppe)",1
"K1688","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K169","definitiv Verlag (Name + Sachgruppe)",1
"K1690","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1699","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K17","definitiv Verlag (Name + Sachgruppe)",4
"K170","definitiv Verlag (Name + Sachgruppe)",8
"K1704","definitiv Verlag (Name + Sachgruppe)",1
"K1706","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1707","definitiv Verlag (Name + Sachgruppe)",3
"K1708","definitiv Verlag (Name + Sachgruppe)",1
"K1709","definitiv Verlag (Name + Sachgruppe)",1
"K171","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1713","definitiv Verlag (Name + Sachgruppe)",2
"K1714","definitiv Verlag (Name + Sachgruppe)",1
"K1716","definitiv Verlag (Name + Sachgruppe)",3
"K1717","definitiv Verlag (Name + Sachgruppe)",2
"K1718","definitiv Verlag (Name + Sachgruppe)",9
"K172","definitiv Verlag (Name + Sachgruppe)",6
"K1720","definitiv Verlag (Name + Sachgruppe)",2
"K1722","definitiv Verlag (Name + Sachgruppe)",2
"K1724","definitiv Verlag (Name + Sachgruppe)",4
"K1725","definitiv Verlag (Name + Sachgruppe)",3
"K1726","definitiv Verlag (Name + Sachgruppe)",2
"K1729","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K173","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1730","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1731","definitiv Verlag (Name + Sachgruppe)",2
"K1732","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1733","definitiv Verlag (Name + Sachgruppe)",1
"K1735","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K1737","definitiv Verlag (Name + Sachgruppe)",1
"K1740","definitiv Verlag (Name + Sachgruppe)",10
"K1743","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1744","definitiv Verlag (Name + Sachgruppe)",1
"K1745","definitiv Verlag (Name + Sachgruppe)",7
"K1748","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1749","definitiv Verlag (Name + Sachgruppe)",2
"K1750","definitiv Verlag (Name + Sachgruppe)",5
"K1751","definitiv Verlag (Name + Sachgruppe)",1
"K1752","definitiv Verlag (Name + Sachgruppe)",1
"K1754","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1755","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1756","definitiv Verlag (Name + Sachgruppe)",4
"K1758","definitiv Verlag (Name + Sachgruppe)",0
"K1760","definitiv Verlag (Name + Sachgruppe)",3
"K1763","definitiv Verlag (Name + Sachgruppe)",0
"K1764","definitiv Verlag (Name + Sachgruppe)",4
