ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783734724596; 3734724597,Auf Biegen und Verbrechen,3. Auflage,Norderstedt,BoD – Books on Demand,2023,328 Seiten,"Sturt, Wolf-Henry",,,,,"Krimis, Thriller, Spionage",ger,
9783734737190; 3734737192,Auf den Hund gekommen Band III,2. Auflage,Norderstedt,BoD – Books on Demand,2023,152 Seiten,"Aeberhard, Georg",,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
,Auf den Seelengrund greifen,,Mönchengladbach,Jutta Chrisanth,[2023],72 Seiten,"Chrisanth, Jutta",,,,,Anthologie; Gemischte Anthologien,ger,
9783990254394; 3990254391,Auf den Spuren der Fledermaus und andere Erzählungen,,[Engerwitzdorf/Mittertreffling],Freya,[2023],129 Seiten,"Solís-Haje, Claudia Inés",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,spa
9783988360014; 3988360015,Auf der anderen Seite,Erstauflage,[Berlin],CulturTainment,5. März 2023,105 Seiten,"Popp, Angela C.",,,,"Hoffmann, Kay",Fiktionale Darstellung; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783351042110; 3351042116,Auf der Suche,1. Auflage,Berlin,Aufbau,2023,143 Seiten,"Fontane, Theodor","D'Aprile, Iwan-Michelangelo",,,,Fiktionale Darstellung; Erzählende Literatur: Hauptwerk vor 1945,ger,
9783748141488; 3748141483,Auf der Zugspitze,1. Auflage,Norderstedt,BoD – Books on Demand,2023,256 Seiten,"Frischko, Kati; Birnmeyer, Florian; Berger, Birgit",,,,,Lyrik,ger,
9783039130344; 303913034X,Auf ein Wort,,Zürich,AS Verlag,[2023],317 Seiten,"Krebs, Peter",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
9783963081699; 3963081694,Auf sanften Sohlen,,Bretten,Lindemanns,[2023],192 Seiten,"Ruediger, G. K.",,,,,Anthologie; Erzählende Literatur,ger,
9783347906723; 3347906721,AUF UND DAVON,,Ahrensburg,tredition,2023,256 Seiten,"Mazzei-Karl, Uta",,,,,Romanhafte Biographien,ger,
9783347906730; 334790673X,AUF UND DAVON,,Ahrensburg,tredition,2023,256 Seiten,"Mazzei-Karl, Uta",,,,,Romanhafte Biographien,ger,
9783751930659; 3751930655,Aufgeben ist keine Option!,1. Auflage,Norderstedt,BoD – Books on Demand,2023,176 Seiten,"Sinn, Elfi",,,,,"Humor, Satire",ger,
9783839204535; 3839204534,Aufgelesen,1. Auflage,Meßkirch,Gmeiner-Verlag,2023,126 Seiten,"Raab, Eggert; Hannak, Elisabeth; Nußbaum, Hannelore",,,,,Anthologie; Gemischte Anthologien,ger,
9783757800758; 3757800753,Aufstieg in den Bergen,1. Auflage,Norderstedt,BoD – Books on Demand,2023,336 Seiten,"Krämer, Tilmann; Peter, Ingrid; Hetzschold, Werner",,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783985277933; 3985277931,Aufwärts,,,,Copyright 2021,403 Seiten,"Martin, Robert Patrick",,,,,Anthologie; Gemischte Anthologien,ger,
9783757550608; 3757550609,Aura Moons wundersame Märlein,1. Auflage,Berlin,epubli,2023,92 Seiten,"Latz, Laura",,,,,Erzählende Literatur,ger,
9783755778844; 375577884X,Aurelian Sammelband 2,1. Auflage,Norderstedt,BoD – Books on Demand,2023,462 Seiten,"Stern, Yuki; Elijah, Gabriel",,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783038313014; 3038313017,Aus dem Leben einer Mutter,,Zug,Deutsche Literaturgesellschaft,[2023],120 Seiten,"Trelle, Henni Marie",,,,,Fiktionale Darstellung; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783988640000; 398864000X,Aus dem Nähkästchen geplaudert,1. Auflage,Frankfurt am Main,LöwenStern Verlag,[2023],147 Seiten,"Fischer, Helga",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783902964526; 3902964529,Aus gegebenem Anlass: auf der Flucht,,Bergheim,Mackingerverlag,2023,146 Seiten,,"Zinecker, Heidrun; Ostertag, Heiger",,,,Anthologie; Gemischte Anthologien,ger,
9783990981528; 3990981528,Aus meinem Leben,,Wien,Löcker,2023,202 Seiten,"Lubomirski, Karl",,,,,Fiktionale Darstellung; Romanhafte Biographien,ger,
9783034017251; 3034017251,Ausgewählte Erzählungen,,Zürich,Chronos,[2023],247 Seiten,"Haller, Lilli","Zeltner, Loriana",,,,Fiktionale Darstellung; Erzählende Literatur: Hauptwerk vor 1945,ger,
