Column1;author_username;author_url;text_id;url;text_title;medium_orig;fandom_categories;chapter_amount;creation_date;update_date;wordcount;genre;age_restriction;endorsement_amount;review_amount
7726;Windmalerin;https://www.fanfiktion.de/u/Windmalerin;5070c0cd00026c230c907530;https://www.fanfiktion.de/s/5070c0cd00026c230c907530/1/ertrinken-in-Stille;ertrinken. in Stille;Prosa;Kurzgeschichten;1;07.10.2012;07.10.2012;336;KurzgeschichteAllgemein;P12;0;1
7727;Deedingin;https://www.fanfiktion.de/u/Deedingin;507023b900029f850c907530;https://www.fanfiktion.de/s/507023b900029f850c907530/1/Untitled-2;Untitled 2;Prosa;Kurzgeschichten;1;06.10.2012;06.10.2012;937;KurzgeschichteAllgemein;P12;0;3
7728;FallenArchangel;https://www.fanfiktion.de/u/FallenArchangel;50701a8300021be90c907530;https://www.fanfiktion.de/s/50701a8300021be90c907530/1/Pride;Pride;Prosa;Kurzgeschichten;1;06.10.2012;06.10.2012;1171;KurzgeschichteLiebesgeschichte;P12;0;2
7729;Xeniii;https://www.fanfiktion.de/u/Xeniii;506f2eec00029ff80c907530;https://www.fanfiktion.de/s/506f2eec00029ff80c907530/1/Ein-Unheimliches-Erlebnis;Ein Unheimliches Erlebnis.;Prosa;Kurzgeschichten;1;05.10.2012;05.10.2012;224;KurzgeschichteHorror;P12;0;1
7730;Fanya;https://www.fanfiktion.de/u/Fanya;506f0d2f00015aa70c907530;https://www.fanfiktion.de/s/506f0d2f00015aa70c907530/1/Nostalgische-Routine;Nostalgische Routine;Prosa;Kurzgeschichten;1;05.10.2012;05.10.2012;1245;KurzgeschichteFamilie;P12;0;0
7731;Deedingin;https://www.fanfiktion.de/u/Deedingin;506ee46e00029f850c907530;https://www.fanfiktion.de/s/506ee46e00029f850c907530/1/Untitled;Untitled;Prosa;Kurzgeschichten;1;05.10.2012;05.10.2012;346;KurzgeschichteTragödie;P12;0;3
7732;Lyrik-Fan;https://www.fanfiktion.de/u/Lyrik-Fan;506de5d700029f9e0c907530;https://www.fanfiktion.de/s/506de5d700029f9e0c907530/1/Paedagogen;Pädagogen;Prosa;Kurzgeschichten;1;04.10.2012;04.10.2012;573;KurzgeschichteHumor;P12;0;1
7733;Erdbeermini;https://www.fanfiktion.de/u/Erdbeermini;506dd38800027e790c907530;https://www.fanfiktion.de/s/506dd38800027e790c907530/1/Farben;Farben;Prosa;Kurzgeschichten;1;04.10.2012;04.10.2012;149;KurzgeschichteAllgemein;P12;0;2
7734;Anne Var;https://www.fanfiktion.de/u/Anne+Var;506dad17000233a60c907530;https://www.fanfiktion.de/s/506dad17000233a60c907530/1/Et-haett-noch-emmer-joot-jejange;Et hätt noch emmer joot jejange;Prosa;Kurzgeschichten;1;04.10.2012;04.10.2012;999;KurzgeschichteAllgemein;P16;0;0
7735;D-aniel;https://www.fanfiktion.de/u/D-aniel;506da19d0001b9c20c907530;https://www.fanfiktion.de/s/506da19d0001b9c20c907530/1/Wohnungssuche;Wohnungssuche;Prosa;Kurzgeschichten;1;04.10.2012;04.10.2012;133;GeschichteAllgemein;P12;0;2
7736;Sarana Uchiha;https://www.fanfiktion.de/u/Sarana+Uchiha;506c5ff800026a6b0c907530;https://www.fanfiktion.de/s/506c5ff800026a6b0c907530/1/Laecheln;Lächeln;Prosa;Kurzgeschichten;2;03.10.2012;03.10.2012;701;KurzgeschichteDrama, Schmerz/Trost;P18;0;2
7737;Xtenshi;https://www.fanfiktion.de/u/Xtenshi;504713a4000292a00ca01b58;https://www.fanfiktion.de/s/504713a4000292a00ca01b58/1/About-life;About life;Prosa;Kurzgeschichten;3;05.09.2012;03.10.2012;1345;KurzgeschichtePoesie;P6;0;4
7738;King of Fools;https://www.fanfiktion.de/u/King+of+Fools;506c1e73000116dc0c907530;https://www.fanfiktion.de/s/506c1e73000116dc0c907530/1/Spinnenbein;Spinnenbein;Prosa;Kurzgeschichten;1;03.10.2012;03.10.2012;1454;KurzgeschichteFreundschaft;P6;0;2
