objekt_id;objekt_typ;koerperschaft_id;rolle
9783033052383;Buch;K2115;VerlegerIn Buch
9783033052819;Buch;K2530;VerlegerIn Buch
9783033055223;Buch;K2267;VerlegerIn Buch
9783033056596;Buch;K997;VerlegerIn Buch
9783033058002;Buch;K997;VerlegerIn Buch
9783033060418;Buch;K953;VerlegerIn Buch
"9783033061453; 3033061451";Buch;K3338;VerlegerIn Buch
"9783033065215; 303306521X";Buch;K1115;VerlegerIn Buch
"9783033068711; 3033068715";Buch;K2911;VerlegerIn Buch
9783033073845;Buch;K1002;VerlegerIn Buch
9783033075559;Buch;K3110;VerlegerIn Buch
"9783033077119; 3033077110";Buch;K2255;VerlegerIn Buch
9783033080287;Buch;K1432;VerlegerIn Buch
9783033084742;Buch;K2653;VerlegerIn Buch
9783033086364;Buch;K3336;VerlegerIn Buch
9783033087453;Buch;K1233;VerlegerIn Buch
9783033088078;Buch;K2625;VerlegerIn Buch
9783033089754;Buch;K2221;VerlegerIn Buch
"9783033092235; 3033092233";Buch;K1696;VerlegerIn Buch
9783033093942;Buch;K184;VerlegerIn Buch
9783033095861;Buch;K3382;VerlegerIn Buch
"9783035620450; 3035620458";Buch;K329;VerlegerIn Buch
"9783036955186; 3036955186";Buch;K1573;VerlegerIn Buch
9783036955896;Buch;K1575;VerlegerIn Buch
"9783036957319; 3036957316";Buch;K1573;VerlegerIn Buch
"9783036959047; 3036959041";Buch;K1573;VerlegerIn Buch
"9783036959351; 3036959351";Buch;K1573;VerlegerIn Buch
"9783036961378; 3036961372";Buch;K1575;VerlegerIn Buch
"9783036961385; 3036961380";Buch;K1575;VerlegerIn Buch
"9783036961392; 3036961399";Buch;K1575;VerlegerIn Buch
"9783036961408; 3036961402";Buch;K1575;VerlegerIn Buch
"9783037232316; 3037232315";Buch;K571;VerlegerIn Buch
"9783037232446; 3037232447";Buch;K570;VerlegerIn Buch
"9783037270752; 3037270756";Buch;K391;VerlegerIn Buch
9783037341414;Buch;K625;VerlegerIn Buch
"9783037343210; 3037343214";Buch;K625;VerlegerIn Buch
9783037401095;Buch;K3105;VerlegerIn Buch
"9783037401118; 3037401117";Buch;K3105;VerlegerIn Buch
"9783037401262; 3037401265";Buch;K3105;VerlegerIn Buch
"9783037401309; 3037401303";Buch;K3105;VerlegerIn Buch
"9783037401361; 3037401362";Buch;K3105;VerlegerIn Buch
9783037401439;Buch;K3105;VerlegerIn Buch
9783037402603;Buch;K3105;VerlegerIn Buch
9783037402870;Buch;K3105;VerlegerIn Buch
9783037403846;Buch;K3105;VerlegerIn Buch
9783037403884;Buch;K3105;VerlegerIn Buch
"9783037631164; 3037631163";Buch;K3208;VerlegerIn Buch
9783037641330;Buch;K1494;VerlegerIn Buch
9783037810248;Buch;K1091;VerlegerIn Buch
"9783037831366; 3037831367";Buch;K54;VerlegerIn Buch
9783037840030;Buch;K2192;VerlegerIn Buch
"9783038000235; 303800023X";Buch;K978;VerlegerIn Buch
9783038004516;Buch;K39;VerlegerIn Buch
9783038080039;Buch;K1716;VerlegerIn Buch
"9783038080329; 3038080322";Buch;K1716;VerlegerIn Buch
"9783038080527; 3038080527";Buch;K1716;VerlegerIn Buch
9783038124245;Buch;K3135;VerlegerIn Buch
9783038124283;Buch;K3135;VerlegerIn Buch
"9783038182290; 303818229X";Buch;K3144;VerlegerIn Buch
"9783038183464; 3038183466";Buch;K3119;VerlegerIn Buch
"9783038200826; 3038200824";Buch;K716;VerlegerIn Buch
"9783038201151; 3038201154";Buch;K716;VerlegerIn Buch
"9783038270126; 3038270121";Buch;K469;VerlegerIn Buch
"9783038280835; 3038280836";Buch;K2715;VerlegerIn Buch
9783038300168;Buch;K2157;VerlegerIn Buch
9783038300199;Buch;K2157;VerlegerIn Buch
